2020-06-07-12:51:02,background,226199,43660,302279,105310,0.8382,0.6823,0.7523

2020-06-07-12:51:02,lungs1,43560,92578,467696,73614,0.32,0.3718,0.3439

2020-06-07-12:51:02,lung2,82300,85569,467644,41935,0.4903,0.6625,0.5635

2020-06-07-12:51:02,heart,60378,22950,559913,34207,0.7246,0.6383,0.6787

2020-06-07-12:51:02,esophagus,0,9211,665564,2673,nan,nan,nan

2020-06-07-12:51:02,trachia,107,2376,670697,4268,0.0431,0.0245,0.0312

2020-06-07-12:51:02,spine,0,8560,665991,2897,nan,nan,nan

2020-06-07-12:51:04,background,240411,34698,311241,91098,0.8739,0.7252,0.7926

2020-06-07-12:51:04,lungs1,33052,75450,484824,84122,0.3046,0.2821,0.2929

2020-06-07-12:51:04,lung2,94963,88508,464705,29272,0.5176,0.7644,0.6172

2020-06-07-12:51:04,heart,71402,17999,564864,23183,0.7987,0.7549,0.7762

2020-06-07-12:51:04,esophagus,0,9040,665735,2673,nan,nan,nan

2020-06-07-12:51:04,trachia,17,1080,671993,4358,0.0155,0.0039,0.0062

2020-06-07-12:51:04,spine,0,10828,663723,2897,nan,nan,nan

2020-06-07-12:51:06,background,257013,29403,316536,74496,0.8973,0.7753,0.8319

2020-06-07-12:51:06,lungs1,33376,60054,500220,83798,0.3572,0.2848,0.317

2020-06-07-12:51:06,lung2,98223,84007,469206,26012,0.539,0.7906,0.641

2020-06-07-12:51:06,heart,77664,24024,558839,16921,0.7637,0.8211,0.7914

2020-06-07-12:51:06,esophagus,0,7417,667358,2673,nan,nan,nan

2020-06-07-12:51:06,trachia,0,314,672759,4375,nan,nan,nan

2020-06-07-12:51:06,spine,0,5953,668598,2897,nan,nan,nan

2020-06-07-12:51:09,background,279994,18427,327512,51515,0.9383,0.8446,0.889

2020-06-07-12:51:09,lungs1,35319,41346,518928,81855,0.4607,0.3014,0.3644

2020-06-07-12:51:09,lung2,97335,81239,471974,26900,0.5451,0.7835,0.6429

2020-06-07-12:51:09,heart,87264,34772,548091,7321,0.7151,0.9226,0.8057

2020-06-07-12:51:09,esophagus,0,1336,673439,2673,nan,nan,nan

2020-06-07-12:51:09,trachia,0,50,673023,4375,nan,nan,nan

2020-06-07-12:51:09,spine,0,366,674185,2897,nan,nan,nan

2020-06-07-12:51:11,background,296153,20222,325717,35356,0.9361,0.8933,0.9142

2020-06-07-12:51:11,lungs1,42688,41986,518288,74486,0.5041,0.3643,0.423

2020-06-07-12:51:11,lung2,90358,73558,479655,33877,0.5512,0.7273,0.6272

2020-06-07-12:51:11,heart,84883,27516,555347,9702,0.7552,0.8974,0.8202

2020-06-07-12:51:11,esophagus,0,77,674698,2673,nan,nan,nan

2020-06-07-12:51:11,trachia,0,3,673070,4375,nan,nan,nan

2020-06-07-12:51:11,spine,0,4,674547,2897,nan,nan,nan

2020-06-07-12:51:13,background,310055,20112,325827,21454,0.9391,0.9353,0.9372

2020-06-07-12:51:13,lungs1,42892,40977,519297,74282,0.5114,0.3661,0.4267

2020-06-07-12:51:13,lung2,89871,72767,480446,34364,0.5526,0.7234,0.6266

2020-06-07-12:51:13,heart,85460,15314,567549,9125,0.848,0.9035,0.8749

2020-06-07-12:51:13,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:51:13,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:51:13,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:51:15,background,315335,24976,320963,16174,0.9266,0.9512,0.9387

2020-06-07-12:51:15,lungs1,41654,39759,520515,75520,0.5116,0.3555,0.4195

2020-06-07-12:51:15,lung2,90538,73642,479571,33697,0.5515,0.7288,0.6278

2020-06-07-12:51:15,heart,81144,10400,572463,13441,0.8864,0.8579,0.8719

2020-06-07-12:51:15,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:51:15,trachia,0,0,673073,4375,nan,nan,nan

