2020-06-07-12:36:14,lung2,99825,47237,505976,24410,0.6788,0.8035,0.7359

2020-06-07-12:36:14,heart,92555,12395,570468,2030,0.8819,0.9785,0.9277

2020-06-07-12:36:14,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:14,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:14,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:16,background,313026,13167,332772,18483,0.9596,0.9442,0.9519

2020-06-07-12:36:16,lungs1,79787,14845,545429,37387,0.8431,0.6809,0.7534

2020-06-07-12:36:16,lung2,113398,40913,512300,10837,0.7349,0.9128,0.8142

2020-06-07-12:36:16,heart,91985,10327,572536,2600,0.8991,0.9725,0.9343

2020-06-07-12:36:16,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:16,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:16,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:18,background,313758,16130,329809,17751,0.9511,0.9465,0.9488

2020-06-07-12:36:18,lungs1,86229,13151,547123,30945,0.8677,0.7359,0.7964

2020-06-07-12:36:18,lung2,114535,30754,522459,9700,0.7883,0.9219,0.8499

2020-06-07-12:36:18,heart,92185,10706,572157,2400,0.8959,0.9746,0.9336

2020-06-07-12:36:18,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:18,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:18,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:20,background,318699,24265,321674,12810,0.9292,0.9614,0.945

2020-06-07-12:36:20,lungs1,60029,12458,547816,57145,0.8281,0.5123,0.633

2020-06-07-12:36:20,lung2,116161,56682,496531,8074,0.6721,0.935,0.782

2020-06-07-12:36:20,heart,84008,5146,577717,10577,0.9423,0.8882,0.9144

2020-06-07-12:36:20,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:20,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:20,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:22,background,283448,57286,288653,48061,0.8319,0.855,0.8433

2020-06-07-12:36:22,lungs1,51793,70327,489947,65381,0.4241,0.442,0.4329

2020-06-07-12:36:22,lung2,57543,22086,531127,66692,0.7226,0.4632,0.5645

2020-06-07-12:36:22,heart,93214,41751,541112,1371,0.6907,0.9855,0.8121

2020-06-07-12:36:22,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:22,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:22,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:24,background,313977,18186,327753,17532,0.9452,0.9471,0.9462

2020-06-07-12:36:24,lungs1,37813,13530,546744,79361,0.7365,0.3227,0.4488

2020-06-07-12:36:24,lung2,117067,80249,472964,7168,0.5933,0.9423,0.7281

2020-06-07-12:36:24,heart,88805,7821,575042,5780,0.9191,0.9389,0.9289

2020-06-07-12:36:24,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:24,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:24,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:27,background,309046,12127,333812,22463,0.9622,0.9322,0.947

2020-06-07-12:36:27,lungs1,93005,11575,548699,24169,0.8893,0.7937,0.8388

2020-06-07-12:36:27,lung2,118152,26881,526332,6083,0.8147,0.951,0.8776

2020-06-07-12:36:27,heart,92719,13943,568920,1866,0.8693,0.9803,0.9214

2020-06-07-12:36:27,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:27,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:27,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:29,background,310411,13409,332530,21098,0.9586,0.9364,0.9473

2020-06-07-12:36:29,lungs1,103754,13384,546890,13420,0.8857,0.8855,0.8856

2020-06-07-12:36:29,lung2,116842,14512,538701,7393,0.8895,0.9405,0.9143

2020-06-07-12:36:29,heart,92668,12468,570395,1917,0.8814,0.9797,0.928

2020-06-07-12:36:29,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:29,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:29,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:31,background,310590,13806,332133,20919,0.9574,0.9369,0.9471

2020-06-07-12:36:31,lungs1,108330,11982,548292,8844,0.9004,0.9245,0.9123

2020-06-07-12:36:31,lung2,119032,9547,543666,5203,0.9257,0.9581,0.9417

2020-06-07-12:36:31,heart,92393,11768,571095,2192,0.887,0.9768,0.9298

2020-06-07-12:36:31,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:31,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:31,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:33,background,313318,15637,330302,18191,0.9525,0.9451,0.9488

2020-06-07-12:36:33,lungs1,109690,11598,548676,7484,0.9044,0.9361,0.92

2020-06-07-12:36:33,lung2,119309,7362,545851,4926,0.9419,0.9603,0.951

2020-06-07-12:36:33,heart,91222,9312,573551,3363,0.9074,0.9644,0.935

2020-06-07-12:36:33,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:33,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:33,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:35,background,313160,14100,331839,18349,0.9569,0.9447,0.9507

2020-06-07-12:36:35,lungs1,111505,9622,550652,5669,0.9206,0.9516,0.9358

2020-06-07-12:36:35,lung2,120495,6330,546883,3740,0.9501,0.9699,0.9599

2020-06-07-12:36:35,heart,91920,10316,572547,2665,0.8991,0.9718,0.934

2020-06-07-12:36:35,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:35,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:35,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:37,background,314298,14496,331443,17211,0.9559,0.9481,0.952

2020-06-07-12:36:37,lungs1,112204,8891,551383,4970,0.9266,0.9576,0.9418

2020-06-07-12:36:37,lung2,120799,5463,547750,3436,0.9567,0.9723,0.9645

2020-06-07-12:36:37,heart,91537,9760,573103,3048,0.9036,0.9678,0.9346

2020-06-07-12:36:37,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:37,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:37,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:39,background,314603,13934,332005,16906,0.9576,0.949,0.9533

2020-06-07-12:36:39,lungs1,112516,8092,552182,4658,0.9329,0.9602,0.9464

2020-06-07-12:36:39,lung2,121075,5303,547910,3160,0.958,0.9746,0.9662

2020-06-07-12:36:39,heart,91758,10167,572696,2827,0.9003,0.9701,0.9339

2020-06-07-12:36:39,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:39,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:39,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:42,background,315202,13642,332297,16307,0.9585,0.9508,0.9546

2020-06-07-12:36:42,lungs1,112807,7571,552703,4367,0.9371,0.9627,0.9497

2020-06-07-12:36:42,lung2,121243,5093,548120,2992,0.9597,0.9759,0.9677

2020-06-07-12:36:42,heart,91759,10131,572732,2826,0.9006,0.9701,0.9341

2020-06-07-12:36:42,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:42,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:42,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:44,background,315843,13213,332726,15666,0.9598,0.9527,0.9563

2020-06-07-12:36:44,lungs1,113034,7077,553197,4140,0.9411,0.9647,0.9527

2020-06-07-12:36:44,lung2,121368,4922,548291,2867,0.961,0.9769,0.9689

2020-06-07-12:36:44,heart,91849,10142,572721,2736,0.9006,0.9711,0.9345

2020-06-07-12:36:44,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:44,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:44,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:46,background,316303,12905,333034,15206,0.9608,0.9541,0.9575

2020-06-07-12:36:46,lungs1,113242,6765,553509,3932,0.9436,0.9664,0.9549

2020-06-07-12:36:46,lung2,121412,4723,548490,2823,0.9626,0.9773,0.9699

2020-06-07-12:36:46,heart,91958,10140,572723,2627,0.9007,0.9722,0.9351

2020-06-07-12:36:46,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:46,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:46,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:48,background,316663,12626,333313,14846,0.9617,0.9552,0.9584

2020-06-07-12:36:48,lungs1,113447,6610,553664,3727,0.9449,0.9682,0.9564

2020-06-07-12:36:48,lung2,121416,4544,548669,2819,0.9639,0.9773,0.9706

2020-06-07-12:36:48,heart,92046,10096,572767,2539,0.9012,0.9732,0.9358

2020-06-07-12:36:48,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:48,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:48,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:50,background,317018,12439,333500,14491,0.9622,0.9563,0.9593

2020-06-07-12:36:50,lungs1,113657,6476,553798,3517,0.9461,0.97,0.9579

2020-06-07-12:36:50,lung2,121446,4371,548842,2789,0.9653,0.9776,0.9714

2020-06-07-12:36:50,heart,92113,9928,572935,2472,0.9027,0.9739,0.9369

2020-06-07-12:36:50,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:50,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:50,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:52,background,317415,12426,333513,14094,0.9623,0.9575,0.9599

2020-06-07-12:36:52,lungs1,113835,6434,553840,3339,0.9465,0.9715,0.9588

2020-06-07-12:36:52,lung2,121463,4200,549013,2772,0.9666,0.9777,0.9721

2020-06-07-12:36:52,heart,92108,9567,573296,2477,0.9059,0.9738,0.9386

2020-06-07-12:36:52,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:52,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:52,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:54,background,317796,12513,333426,13713,0.9621,0.9586,0.9604

2020-06-07-12:36:54,lungs1,114010,6456,553818,3164,0.9464,0.973,0.9595

2020-06-07-12:36:54,lung2,121468,4070,549143,2767,0.9676,0.9777,0.9726

2020-06-07-12:36:54,heart,92096,9039,573824,2489,0.9106,0.9737,0.9411

2020-06-07-12:36:54,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:54,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:54,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:57,background,318074,12687,333252,13435,0.9616,0.9595,0.9606

2020-06-07-12:36:57,lungs1,114167,6436,553838,3007,0.9466,0.9743,0.9603

2020-06-07-12:36:57,lung2,121484,3940,549273,2751,0.9686,0.9779,0.9732

2020-06-07-12:36:57,heart,92130,8530,574333,2455,0.9153,0.974,0.9437

2020-06-07-12:36:57,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:57,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:57,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:59,background,318287,12535,333404,13222,0.9621,0.9601,0.9611

2020-06-07-12:36:59,lungs1,114274,6426,553848,2900,0.9468,0.9753,0.9608

2020-06-07-12:36:59,lung2,121475,3834,549379,2760,0.9694,0.9778,0.9736

2020-06-07-12:36:59,heart,92163,8454,574409,2422,0.916,0.9744,0.9443

2020-06-07-12:36:59,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:59,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:59,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:37:01,background,318640,12197,333742,12869,0.9631,0.9612,0.9622

2020-06-07-12:37:01,lungs1,114346,6343,553931,2828,0.9474,0.9759,0.9614

2020-06-07-12:37:01,lung2,121477,3719,549494,2758,0.9703,0.9778,0.974

2020-06-07-12:37:01,heart,92168,8558,574305,2417,0.915,0.9744,0.9438

2020-06-07-12:37:01,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:37:01,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:37:01,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:37:03,background,318866,12051,333888,12643,0.9636,0.9619,0.9627

2020-06-07-12:37:03,lungs1,114429,6240,554034,2745,0.9483,0.9766,0.9622

2020-06-07-12:37:03,lung2,121482,3618,549595,2753,0.9711,0.9778,0.9744

2020-06-07-12:37:03,heart,92232,8530,574333,2353,0.9153,0.9751,0.9443

2020-06-07-12:37:03,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:37:03,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:37:03,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:37:05,background,319111,12003,333936,12398,0.9637,0.9626,0.9632

2020-06-07-12:37:05,lungs1,114458,6120,554154,2716,0.9492,0.9768,0.9628

2020-06-07-12:37:05,lung2,121456,3534,549679,2779,0.9717,0.9776,0.9747

2020-06-07-12:37:05,heart,92301,8465,574398,2284,0.916,0.9759,0.945

2020-06-07-12:37:05,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:37:05,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:37:05,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:37:07,background,319395,11868,334071,12114,0.9642,0.9635,0.9638

2020-06-07-12:37:07,lungs1,114498,5987,554287,2676,0.9503,0.9772,0.9635

